epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.627,2.42949,5.47459,1.42839,0.00704,0.54461,0.00658,0.00178,2.10423,4.37513,1.0766,5.91242e-05,5.91242e-05,5.91242e-05
2,149.949,1.67997,3.97482,1.02254,0.05416,0.11815,0.03807,0.0191,1.45063,3.13048,0.94403,0.000114871,0.000114871,0.000114871
3,218.051,1.49256,3.20265,0.99174,0.12842,0.22521,0.10311,0.05995,1.25605,2.68687,0.90617,0.000166679,0.000166679,0.000166679
4,262.45,1.41148,2.80315,0.97894,0.18559,0.40991,0.19939,0.11847,1.29377,2.30086,0.91713,0.000161279,0.000161279,0.000161279
5,303.512,1.34917,2.52888,0.96753,0.27552,0.48812,0.29357,0.19894,1.08059,2.03916,0.87256,0.000155372,0.000155372,0.000155372
6,345.105,1.31361,2.31047,0.95937,0.36934,0.58625,0.42917,0.24995,1.31778,1.78028,0.92687,0.000149465,0.000149465,0.000149465
7,385.852,1.29064,2.13349,0.95415,0.40363,0.61633,0.47341,0.33185,1.03608,1.651,0.86646,0.000143558,0.000143558,0.000143558
8,425.978,1.26511,2.00177,0.94891,0.48456,0.67798,0.58305,0.41526,1.00542,1.4589,0.86235,0.000137651,0.000137651,0.000137651
9,465.141,1.24359,1.88249,0.94547,0.4994,0.68892,0.59262,0.42401,1.01142,1.47571,0.8639,0.000131744,0.000131744,0.000131744
10,505.424,1.22788,1.77979,0.94303,0.5915,0.73482,0.69434,0.49485,1.01237,1.2866,0.86248,0.000125837,0.000125837,0.000125837
11,546.196,1.21205,1.70102,0.9392,0.64153,0.76602,0.73857,0.49234,1.12425,1.19535,0.88042,0.00011993,0.00011993,0.00011993
12,587.977,1.19892,1.62085,0.93661,0.65745,0.78228,0.77132,0.50435,1.16514,1.15704,0.88808,0.000114023,0.000114023,0.000114023
13,628.579,1.19246,1.56611,0.93086,0.68351,0.78369,0.78781,0.58695,0.91404,1.07807,0.84594,0.000108116,0.000108116,0.000108116
14,668.832,1.17415,1.52245,0.92746,0.70488,0.7945,0.80663,0.55665,1.06258,1.07265,0.87092,0.000102209,0.000102209,0.000102209
15,708.277,1.16312,1.4687,0.92563,0.72031,0.81002,0.82087,0.59098,0.98919,1.02284,0.85924,9.6302e-05,9.6302e-05,9.6302e-05
16,747.204,1.15123,1.4379,0.92164,0.71294,0.80168,0.82403,0.58803,1.00514,1.03837,0.86107,9.0395e-05,9.0395e-05,9.0395e-05
17,786.796,1.14629,1.39751,0.92155,0.75074,0.83625,0.8542,0.57364,1.11685,0.99177,0.87596,8.4488e-05,8.4488e-05,8.4488e-05
18,826.943,1.12661,1.37024,0.91699,0.75112,0.82152,0.85654,0.61252,0.99901,0.96756,0.859,7.8581e-05,7.8581e-05,7.8581e-05
19,867.155,1.11603,1.3407,0.91492,0.74212,0.82847,0.84431,0.6128,0.96802,0.96309,0.8518,7.2674e-05,7.2674e-05,7.2674e-05
20,907.413,1.11378,1.32349,0.91225,0.74824,0.82814,0.85771,0.58233,1.10439,0.97004,0.87831,6.6767e-05,6.6767e-05,6.6767e-05
21,950.63,1.00356,1.0874,0.92009,0.74201,0.81369,0.84517,0.62302,0.94597,0.9715,0.85095,6.086e-05,6.086e-05,6.086e-05
22,991.218,0.9634,1.0355,0.90899,0.76498,0.83712,0.86129,0.65237,0.88089,0.91325,0.83765,5.4953e-05,5.4953e-05,5.4953e-05
23,1031.5,0.93681,1.00543,0.90121,0.77494,0.85577,0.87727,0.65527,0.91879,0.87878,0.84536,4.9046e-05,4.9046e-05,4.9046e-05
24,1070.56,0.92709,0.9901,0.89996,0.77565,0.84576,0.87508,0.64837,0.936,0.88803,0.84838,4.3139e-05,4.3139e-05,4.3139e-05
25,1110.21,0.91267,0.9689,0.89477,0.7916,0.85024,0.88968,0.65526,0.94463,0.85666,0.84896,3.7232e-05,3.7232e-05,3.7232e-05
26,1150.54,0.90112,0.95167,0.89139,0.78963,0.8616,0.89337,0.67152,0.90107,0.84028,0.84109,3.1325e-05,3.1325e-05,3.1325e-05
27,1190.07,0.89798,0.94894,0.89108,0.79124,0.85398,0.89211,0.67189,0.89954,0.84384,0.8406,2.5418e-05,2.5418e-05,2.5418e-05
28,1228.96,0.89013,0.93915,0.88834,0.80231,0.86988,0.90149,0.66943,0.9326,0.81995,0.84591,1.9511e-05,1.9511e-05,1.9511e-05
29,1268.01,0.88354,0.92948,0.88701,0.79869,0.85766,0.89701,0.68381,0.87564,0.82707,0.8373,1.3604e-05,1.3604e-05,1.3604e-05
30,1307.21,0.87598,0.92363,0.88558,0.80328,0.86868,0.90057,0.68659,0.87526,0.81393,0.83725,7.697e-06,7.697e-06,7.697e-06
