epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.0462,2.50103,5.52332,1.43788,0.00668,0.51398,0.00619,0.00167,2.11646,4.37518,1.07857,5.91242e-05,5.91242e-05,5.91242e-05
2,90.8815,1.81215,4.06938,1.03263,0.04686,0.13564,0.03655,0.01579,1.6364,3.16338,0.98916,0.000115851,0.000115851,0.000115851
3,131.488,1.61447,3.30289,0.99834,0.11258,0.23226,0.09182,0.05644,1.17679,2.71022,0.89769,0.000169624,0.000169624,0.000169624
4,171.687,1.50867,2.90069,0.98131,0.18341,0.39381,0.1849,0.09858,1.4175,2.33275,0.94731,0.000165709,0.000165709,0.000165709
5,211.606,1.44837,2.63813,0.96973,0.23828,0.46388,0.25135,0.17147,1.05323,2.11894,0.86965,0.000161279,0.000161279,0.000161279
6,250.989,1.41364,2.43745,0.96091,0.31674,0.56243,0.35788,0.19097,1.48723,1.90827,0.96341,0.000156849,0.000156849,0.000156849
7,291.843,1.3841,2.26962,0.95556,0.38299,0.59203,0.44294,0.30479,1.05227,1.70609,0.86628,0.000152418,0.000152418,0.000152418
8,332.445,1.36681,2.14402,0.95141,0.43526,0.64504,0.52708,0.37289,1.01933,1.54001,0.86512,0.000147988,0.000147988,0.000147988
9,372.728,1.33422,2.03111,0.94478,0.46065,0.66605,0.54857,0.38816,1.03832,1.54909,0.86929,0.000143558,0.000143558,0.000143558
10,412.399,1.31105,1.9284,0.93938,0.49457,0.69072,0.59425,0.41671,1.03329,1.43022,0.86659,0.000139128,0.000139128,0.000139128
11,451.185,1.29728,1.84908,0.93855,0.5703,0.70965,0.66273,0.39544,1.28481,1.37125,0.9203,0.000134697,0.000134697,0.000134697
12,489.809,1.29094,1.7736,0.93735,0.62655,0.75195,0.726,0.44851,1.26341,1.2347,0.90907,0.000130267,0.000130267,0.000130267
13,529.324,1.26979,1.70848,0.92859,0.63518,0.75528,0.73857,0.50614,1.07318,1.20073,0.87321,0.000125837,0.000125837,0.000125837
14,568.814,1.2589,1.66522,0.92603,0.62747,0.74036,0.73094,0.52064,0.9944,1.20884,0.85792,0.000121407,0.000121407,0.000121407
15,608.557,1.24449,1.60947,0.92417,0.68003,0.77884,0.7877,0.51243,1.17762,1.11066,0.89255,0.000116976,0.000116976,0.000116976
16,647.635,1.23414,1.56876,0.9216,0.6692,0.76609,0.76934,0.53267,1.06425,1.12005,0.87026,0.000112546,0.000112546,0.000112546
17,685.279,1.2232,1.52833,0.92012,0.73437,0.82047,0.83158,0.57455,1.05173,1.01467,0.86655,0.000108116,0.000108116,0.000108116
18,725.694,1.21012,1.49748,0.91661,0.71261,0.81035,0.82156,0.59909,0.95667,1.01987,0.852,0.000103686,0.000103686,0.000103686
19,765.737,1.19891,1.46755,0.9161,0.71095,0.8071,0.81724,0.58044,1.01363,1.02882,0.85964,9.92555e-05,9.92555e-05,9.92555e-05
20,804.247,1.19133,1.45057,0.91214,0.72621,0.80448,0.82589,0.54228,1.15491,1.04275,0.89031,9.48253e-05,9.48253e-05,9.48253e-05
21,843.268,1.18367,1.42077,0.91087,0.7376,0.813,0.84022,0.60024,1.00456,0.99051,0.86087,9.0395e-05,9.0395e-05,9.0395e-05
22,883.348,1.17077,1.40237,0.90874,0.74095,0.84842,0.85201,0.60798,1.01102,0.94464,0.86209,8.59647e-05,8.59647e-05,8.59647e-05
23,922.376,1.16621,1.38396,0.90508,0.75462,0.84664,0.86099,0.63702,0.92851,0.92184,0.84583,8.15345e-05,8.15345e-05,8.15345e-05
24,961.789,1.14964,1.35718,0.90381,0.76913,0.85368,0.87437,0.64473,0.93795,0.89522,0.84888,7.71043e-05,7.71043e-05,7.71043e-05
25,1001.27,1.13878,1.33911,0.90166,0.75893,0.85421,0.86739,0.62054,1.00299,0.91572,0.86055,7.2674e-05,7.2674e-05,7.2674e-05
26,1040.5,1.14125,1.32551,0.90076,0.78614,0.86749,0.88381,0.65938,0.92116,0.86204,0.84533,6.82437e-05,6.82437e-05,6.82437e-05
27,1079.93,1.1227,1.30107,0.89856,0.78497,0.86872,0.88483,0.63039,1.01639,0.87085,0.85881,6.38135e-05,6.38135e-05,6.38135e-05
28,1119.05,1.11663,1.2914,0.89598,0.77882,0.85977,0.8794,0.61208,1.056,0.88844,0.8673,5.93832e-05,5.93832e-05,5.93832e-05
29,1158.49,1.11213,1.27889,0.89438,0.79398,0.87196,0.89478,0.61486,1.09,0.86476,0.87169,5.4953e-05,5.4953e-05,5.4953e-05
30,1197.05,1.11287,1.27293,0.89238,0.80709,0.87327,0.89877,0.66861,0.91871,0.82551,0.84296,5.05227e-05,5.05227e-05,5.05227e-05
31,1238.71,0.98072,1.01789,0.9136,0.78638,0.848,0.88217,0.65766,0.92706,0.86756,0.84447,4.60925e-05,4.60925e-05,4.60925e-05
32,1278.26,0.91889,0.95897,0.89475,0.77761,0.86363,0.87974,0.66465,0.88691,0.85167,0.83834,4.16622e-05,4.16622e-05,4.16622e-05
33,1316.96,0.90869,0.93811,0.89236,0.79823,0.8729,0.89689,0.66542,0.93473,0.81609,0.84523,3.7232e-05,3.7232e-05,3.7232e-05
34,1356.46,0.89712,0.92399,0.88919,0.80143,0.87438,0.8975,0.68798,0.8639,0.80145,0.83334,3.28018e-05,3.28018e-05,3.28018e-05
35,1394.83,0.8951,0.91934,0.88788,0.79833,0.8613,0.8947,0.68152,0.87948,0.81459,0.83537,2.83715e-05,2.83715e-05,2.83715e-05
36,1433.87,0.88611,0.90781,0.88367,0.80518,0.86685,0.90167,0.69319,0.85835,0.80046,0.83285,2.39413e-05,2.39413e-05,2.39413e-05
37,1472.73,0.88302,0.90214,0.88594,0.81027,0.86711,0.90353,0.69215,0.86391,0.79368,0.83361,1.9511e-05,1.9511e-05,1.9511e-05
38,1511.59,0.87904,0.89567,0.88308,0.80832,0.86981,0.90483,0.68992,0.878,0.79488,0.83538,1.50807e-05,1.50807e-05,1.50807e-05
